image_id,family,module,motif,note,seed,expert_depletion,expert_fog,expert_disconnection,expert_burden,learned_depletion,delta_depletion,learned_fog,delta_fog,learned_disconnection,delta_disconnection,learned_burden,delta_burden,visual_shift_l2,image_bias,image_nuisance_l2
IMG_021,blend,energy,eclipse_twins,blend of depletion and disconnection,3291614093,0.72,0.22,0.46,0.22,0.80285835,0.08285835266113284,0.36973092,0.14973091959953308,0.5610409,0.10104087829589842,0.31432223,0.09432223320007324,0.21997908457963464,0.0,0.12891594
IMG_022,blend,energy,overhead_mass,blend of depletion and disconnection,3302037457,0.6,0.12,0.6,0.12,0.64803684,0.048036837577819846,0.28199822,0.16199821710586548,0.58183306,-0.01816693544387815,0.26727948,0.1472794759273529,0.22488272873392195,0.0,0.12365787
IMG_023,blend,energy,sunken_body,blend of depletion and disconnection,3376077206,0.8,0.16999999999999998,0.28,0.16999999999999998,0.77386445,-0.02613555192947392,0.3012218,0.13122178792953493,0.27964818,-0.0003518152236938743,0.17769349,0.007693486213684098,0.1340206633551477,0.0,0.093863316
IMG_024,blend,connection,root_plume,blend of depletion and disconnection,1999300818,0.54,0.22,0.74,0.22,0.56214726,0.022147259712219203,0.27506155,0.05506154775619507,0.6795988,-0.06040119171142577,0.26156095,0.04156094670295715,0.09432863512780566,0.0,0.17094664
IMG_025,blend,energy,winged_mantle,blend of depletion and burden,2277304616,0.72,0.12,0.16999999999999998,0.46,0.74070275,0.020702748298645046,0.17378815,0.05378814518451691,0.2753726,0.10537259459495546,0.41862923,-0.041370770931243916,0.1270302827227666,0.0,0.06659573
IMG_026,blend,energy,tidal_pour,blend of depletion and burden,1568095680,0.6,0.16999999999999998,0.22,0.6,0.63116056,0.03116055727005007,0.30362353,0.1336235272884369,0.154022,-0.06597800672054291,0.5552912,-0.04470882415771482,0.15867641192932608,0.0,0.12433422
IMG_027,blend,energy,folded_column,blend of depletion and burden,2127546808,0.8,0.22,0.12,0.28,0.8953065,0.09530652761459346,0.28967926,0.06967925906181335,0.100918084,-0.01908191561698913,0.3523446,0.07234460234642026,0.1397726523381099,0.0,0.079630174
IMG_028,blend,burden,mist_window,blend of depletion and burden,2309353125,0.54,0.12,0.16999999999999998,0.74,0.6405627,0.10056271314620968,0.26052803,0.14052802801132203,0.14503396,-0.02496604442596434,0.74447757,0.004477570056915292,0.17465491101017336,0.0,0.09219072
IMG_029,blend,clarity,splinter_cloud,blend of fog and disconnection,3620832353,0.16999999999999998,0.72,0.46,0.16999999999999998,0.24884757,0.07884757399559023,0.6780047,-0.04199531793594358,0.41110227,-0.04889773488044741,0.21794665,0.0479466485977173,0.11256294346596739,0.0,0.039747983
IMG_030,blend,clarity,central_cavern,blend of fog and disconnection,2903856936,0.22,0.6,0.6,0.22,0.18457611,-0.035423890948295594,0.59423894,-0.0057610630989074485,0.5340152,-0.06598482131958006,0.23493661,0.014936609864234923,0.07658420761984548,0.0,0.032719236
IMG_031,blend,clarity,paired_lobes,blend of fog and disconnection,2958600417,0.12,0.8,0.28,0.12,0.1602264,0.04022640466690064,0.7988694,-0.001130628585815474,0.29824492,0.018244923353195164,0.10168586,-0.018314140737056728,0.047830188506057504,0.0,0.11426009
IMG_032,blend,connection,island_gap,blend of fog and disconnection,3239358027,0.16999999999999998,0.54,0.74,0.16999999999999998,0.2880832,0.11808319568634035,0.6711637,0.13116367816925045,0.8281979,0.08819789648056031,0.2589092,0.08890919566154482,0.2164053270859194,0.0,0.092364684
IMG_033,blend,clarity,eclipse_twins,blend of fog and burden,4126346626,0.22,0.72,0.12,0.46,0.13641448,-0.08358551681041718,0.650814,-0.06918600320816037,0.099754214,-0.020245785713195796,0.35306716,-0.10693284034729006,0.15368072697728816,0.0,0.1890419
IMG_034,blend,clarity,overhead_mass,blend of fog and burden,908888579,0.12,0.6,0.16999999999999998,0.6,0.16389251,0.04389250755310059,0.6863013,0.08630129098892214,0.14967015,-0.02032984614372252,0.6685342,0.06853421926498415,0.1203524278946709,0.0,0.1597633
